"vax_first"	"vax_full"	"vax_booster"	"teryt"	"date"
90	0	0	"t0208"	"20210131"
53	0	0	"t0211"	"20210131"
2	0	0	"t0213"	"20210131"
59	0	0	"t0214"	"20210131"
134	1	0	"t0219"	"20210131"
1	0	0	"t0262"	"20210131"
1466	833	0	"t0264"	"20210131"
186	0	0	"t0265"	"20210131"
12	0	0	"t0405"	"20210131"
184	6	0	"t0407"	"20210131"
29	0	0	"t0413"	"20210131"
315	2	0	"t0461"	"20210131"
150	1	0	"t0463"	"20210131"
36	0	0	"t0607"	"20210131"
72	11	0	"t0618"	"20210131"
270	1	0	"t0663"	"20210131"
66	1	0	"t0664"	"20210131"
53	0	0	"t0801"	"20210131"
54	51	0	"t0802"	"20210131"
4	0	0	"t0803"	"20210131"
2	0	0	"t0804"	"20210131"
39	20	0	"t0808"	"20210131"
105	0	0	"t0811"	"20210131"
6	6	0	"t0812"	"20210131"
223	0	0	"t0862"	"20210131"
104	0	0	"t1002"	"20210131"
69	0	0	"t1005"	"20210131"
60	0	0	"t1010"	"20210131"
31	2	0	"t1012"	"20210131"
30	27	0	"t1013"	"20210131"
30	0	0	"t1014"	"20210131"
775	276	0	"t1061"	"20210131"
42	0	0	"t1063"	"20210131"
121	0	0	"t1201"	"20210131"
154	0	0	"t1203"	"20210131"
36	0	0	"t1209"	"20210131"
30	0	0	"t1211"	"20210131"
863	4	0	"t1261"	"20210131"
18	0	0	"t1263"	"20210131"
66	63	0	"t1417"	"20210131"
83	83	0	"t1421"	"20210131"
6	0	0	"t1424"	"20210131"
90	0	0	"t1429"	"20210131"
89	2	0	"t1434"	"20210131"
252	0	0	"t1462"	"20210131"
126	0	0	"t1463"	"20210131"
30	0	0	"t1464"	"20210131"
1612	520	0	"t1465"	"20210131"
18	0	0	"t1603"	"20210131"
29	0	0	"t1609"	"20210131"
2	0	0	"t1611"	"20210131"
173	0	0	"t1661"	"20210131"
77	0	0	"t1801"	"20210131"
30	0	0	"t1804"	"20210131"
45	0	0	"t1806"	"20210131"
30	0	0	"t1810"	"20210131"
29	0	0	"t1811"	"20210131"
66	1	0	"t1818"	"20210131"
278	15	0	"t1863"	"20210131"
19	0	0	"t2002"	"20210131"
41	0	0	"t2008"	"20210131"
36	0	0	"t2011"	"20210131"
90	0	0	"t2201"	"20210131"
85	0	0	"t2202"	"20210131"
176	0	0	"t2215"	"20210131"
36	0	0	"t2216"	"20210131"
339	335	0	"t2261"	"20210131"
242	6	0	"t2262"	"20210131"
90	0	0	"t2403"	"20210131"
90	0	0	"t2405"	"20210131"
137	1	0	"t2407"	"20210131"
55	0	0	"t2409"	"20210131"
462	171	0	"t2469"	"20210131"
178	1	0	"t2470"	"20210131"
61	0	0	"t2474"	"20210131"
122	0	0	"t2478"	"20210131"
138	0	0	"t2607"	"20210131"
126	0	0	"t2661"	"20210131"
113	0	0	"t2806"	"20210131"
4	0	0	"t2814"	"20210131"
167	4	0	"t2861"	"20210131"
161	158	0	"t2862"	"20210131"
90	0	0	"t3002"	"20210131"
48	1	0	"t3005"	"20210131"
30	0	0	"t3007"	"20210131"
18	0	0	"t3012"	"20210131"
106	1	0	"t3015"	"20210131"
30	0	0	"t3016"	"20210131"
27	0	0	"t3019"	"20210131"
88	0	0	"t3023"	"20210131"
1	1	0	"t3024"	"20210131"
21	0	0	"t3031"	"20210131"
30	0	0	"t3061"	"20210131"
839	0	0	"t3064"	"20210131"
90	0	0	"t3204"	"20210131"
1	0	0	"t3214"	"20210131"
264	0	0	"t3261"	"20210131"
513	1	0	"t3262"	"20210131"
