"new_cases"	"deaths"	"teryt"	"date"
5	0	"t0201"	"20210211"
18	0	"t0202"	"20210211"
1	0	"t0203"	"20210211"
3	0	"t0204"	"20210211"
8	1	"t0205"	"20210211"
5	1	"t0206"	"20210211"
8	0	"t0207"	"20210211"
31	5	"t0208"	"20210211"
18	0	"t0209"	"20210211"
12	2	"t0210"	"20210211"
10	0	"t0211"	"20210211"
3	0	"t0212"	"20210211"
5	0	"t0213"	"20210211"
17	0	"t0214"	"20210211"
9	0	"t0215"	"20210211"
5	0	"t0216"	"20210211"
2	0	"t0217"	"20210211"
5	0	"t0218"	"20210211"
13	6	"t0219"	"20210211"
9	0	"t0220"	"20210211"
10	0	"t0221"	"20210211"
14	0	"t0222"	"20210211"
33	1	"t0223"	"20210211"
8	2	"t0224"	"20210211"
7	0	"t0225"	"20210211"
13	1	"t0261"	"20210211"
12	0	"t0262"	"20210211"
104	1	"t0264"	"20210211"
8	2	"t0265"	"20210211"
8	0	"t0401"	"20210211"
9	0	"t0402"	"20210211"
58	0	"t0403"	"20210211"
48	1	"t0404"	"20210211"
11	2	"t0405"	"20210211"
10	0	"t0406"	"20210211"
31	2	"t0407"	"20210211"
10	1	"t0408"	"20210211"
8	0	"t0409"	"20210211"
27	1	"t0410"	"20210211"
7	0	"t0411"	"20210211"
1	1	"t0412"	"20210211"
9	2	"t0413"	"20210211"
33	2	"t0414"	"20210211"
27	1	"t0415"	"20210211"
4	0	"t0416"	"20210211"
10	1	"t0417"	"20210211"
9	3	"t0418"	"20210211"
25	1	"t0419"	"20210211"
131	5	"t0461"	"20210211"
26	2	"t0462"	"20210211"
44	4	"t0463"	"20210211"
21	2	"t0464"	"20210211"
18	0	"t0601"	"20210211"
23	2	"t0602"	"20210211"
7	0	"t0603"	"20210211"
4	0	"t0604"	"20210211"
2	1	"t0605"	"20210211"
6	3	"t0606"	"20210211"
16	0	"t0607"	"20210211"
7	1	"t0608"	"20210211"
29	0	"t0609"	"20210211"
3	0	"t0610"	"20210211"
9	18	"t0611"	"20210211"
10	0	"t0612"	"20210211"
3	0	"t0613"	"20210211"
33	0	"t0614"	"20210211"
3	2	"t0615"	"20210211"
7	0	"t0616"	"20210211"
15	1	"t0617"	"20210211"
23	1	"t0618"	"20210211"
15	0	"t0619"	"20210211"
13	9	"t0620"	"20210211"
14	1	"t0661"	"20210211"
7	1	"t0662"	"20210211"
44	1	"t0663"	"20210211"
9	3	"t0664"	"20210211"
21	0	"t0801"	"20210211"
9	2	"t0802"	"20210211"
13	0	"t0803"	"20210211"
14	2	"t0804"	"20210211"
4	1	"t0805"	"20210211"
8	3	"t0806"	"20210211"
2	0	"t0807"	"20210211"
8	1	"t0808"	"20210211"
20	0	"t0809"	"20210211"
2	0	"t0810"	"20210211"
15	4	"t0811"	"20210211"
2	2	"t0812"	"20210211"
48	2	"t0861"	"20210211"
61	2	"t0862"	"20210211"
12	0	"t1001"	"20210211"
5	3	"t1002"	"20210211"
9	0	"t1003"	"20210211"
11	0	"t1004"	"20210211"
14	3	"t1005"	"20210211"
17	0	"t1006"	"20210211"
4	1	"t1007"	"20210211"
16	0	"t1008"	"20210211"
3	0	"t1009"	"20210211"
19	0	"t1010"	"20210211"
4	0	"t1011"	"20210211"
19	1	"t1012"	"20210211"
12	0	"t1013"	"20210211"
14	2	"t1014"	"20210211"
9	0	"t1015"	"20210211"
26	0	"t1016"	"20210211"
3	0	"t1017"	"20210211"
3	0	"t1018"	"20210211"
8	0	"t1019"	"20210211"
18	7	"t1020"	"20210211"
1	1	"t1021"	"20210211"
160	10	"t1061"	"20210211"
22	0	"t1062"	"20210211"
7	0	"t1063"	"20210211"
6	0	"t1201"	"20210211"
10	1	"t1202"	"20210211"
12	0	"t1203"	"20210211"
8	0	"t1204"	"20210211"
4	0	"t1205"	"20210211"
37	2	"t1206"	"20210211"
10	0	"t1207"	"20210211"
2	0	"t1208"	"20210211"
13	2	"t1209"	"20210211"
15	1	"t1210"	"20210211"
16	1	"t1211"	"20210211"
11	0	"t1212"	"20210211"
17	0	"t1213"	"20210211"
4	0	"t1214"	"20210211"
13	2	"t1215"	"20210211"
22	1	"t1216"	"20210211"
8	5	"t1217"	"20210211"
24	0	"t1218"	"20210211"
26	0	"t1219"	"20210211"
96	12	"t1261"	"20210211"
6	0	"t1262"	"20210211"
4	0	"t1263"	"20210211"
1	0	"t1401"	"20210211"
22	2	"t1402"	"20210211"
6	1	"t1403"	"20210211"
4	0	"t1404"	"20210211"
41	0	"t1405"	"20210211"
28	0	"t1406"	"20210211"
13	4	"t1407"	"20210211"
25	1	"t1408"	"20210211"
3	0	"t1409"	"20210211"
3	2	"t1410"	"20210211"
2	1	"t1411"	"20210211"
16	4	"t1412"	"20210211"
36	2	"t1413"	"20210211"
9	0	"t1414"	"20210211"
13	0	"t1415"	"20210211"
8	2	"t1416"	"20210211"
21	2	"t1417"	"20210211"
53	1	"t1418"	"20210211"
18	3	"t1419"	"20210211"
22	0	"t1420"	"20210211"
32	4	"t1421"	"20210211"
21	0	"t1422"	"20210211"
2	1	"t1423"	"20210211"
15	0	"t1424"	"20210211"
15	1	"t1425"	"20210211"
10	1	"t1426"	"20210211"
4	0	"t1427"	"20210211"
