"new_cases" "deaths" "teryt" "date"
6 0 "t0201" "20210130"
4 0 "t0202" "20210130"
8 0 "t0203" "20210130"
2 0 "t0204" "20210130"
4 0 "t0205" "20210130"
6 1 "t0206" "20210130"
7 0 "t0207" "20210130"
11 1 "t0208" "20210130"
3 0 "t0209" "20210130"
8 0 "t0210" "20210130"
16 0 "t0211" "20210130"
6 0 "t0212" "20210130"
5 0 "t0213" "20210130"
7 1 "t0214" "20210130"
14 0 "t0215" "20210130"
3 0 "t0216" "20210130"
11 0 "t0218" "20210130"
31 1 "t0219" "20210130"
6 1 "t0220" "20210130"
11 0 "t0221" "20210130"
17 2 "t0223" "20210130"
5 0 "t0224" "20210130"
9 1 "t0225" "20210130"
4 0 "t0226" "20210130"
9 0 "t0261" "20210130"
18 0 "t0262" "20210130"
82 6 "t0264" "20210130"
24 0 "t0265" "20210130"
5 0 "t0401" "20210130"
7 0 "t0402" "20210130"
44 3 "t0403" "20210130"
14 0 "t0404" "20210130"
13 0 "t0405" "20210130"
9 0 "t0406" "20210130"
19 2 "t0407" "20210130"
6 5 "t0408" "20210130"
2 1 "t0409" "20210130"
14 0 "t0410" "20210130"
6 0 "t0411" "20210130"
4 0 "t0412" "20210130"
12 0 "t0413" "20210130"
20 0 "t0414" "20210130"
37 1 "t0415" "20210130"
14 1 "t0416" "20210130"
18 1 "t0417" "20210130"
10 0 "t0418" "20210130"
17 2 "t0419" "20210130"
127 5 "t0461" "20210130"
26 1 "t0462" "20210130"
39 2 "t0463" "20210130"
19 0 "t0464" "20210130"
16 0 "t0601" "20210130"
13 1 "t0602" "20210130"
11 1 "t0603" "20210130"
6 0 "t0604" "20210130"
2 0 "t0605" "20210130"
20 0 "t0606" "20210130"
19 0 "t0607" "20210130"
8 0 "t0608" "20210130"
26 0 "t0609" "20210130"
9 0 "t0610" "20210130"
11 1 "t0611" "20210130"
3 3 "t0612" "20210130"
2 1 "t0613" "20210130"
13 2 "t0614" "20210130"
6 1 "t0615" "20210130"
8 0 "t0616" "20210130"
12 0 "t0617" "20210130"
20 2 "t0618" "20210130"
13 0 "t0619" "20210130"
7 2 "t0620" "20210130"
7 1 "t0661" "20210130"
12 2 "t0662" "20210130"
69 1 "t0663" "20210130"
5 1 "t0664" "20210130"
9 0 "t0801" "20210130"
7 0 "t0802" "20210130"
14 0 "t0803" "20210130"
16 1 "t0804" "20210130"
4 0 "t0805" "20210130"
5 1 "t0806" "20210130"
4 0 "t0807" "20210130"
9 3 "t0808" "20210130"
9 1 "t0809" "20210130"
6 0 "t0810" "20210130"
24 0 "t0811" "20210130"
4 0 "t0812" "20210130"
24 0 "t0861" "20210130"
43 0 "t0862" "20210130"
16 0 "t1001" "20210130"
12 1 "t1002" "20210130"
6 1 "t1003" "20210130"
11 0 "t1004" "20210130"
9 1 "t1005" "20210130"
7 0 "t1006" "20210130"
8 0 "t1007" "20210130"
23 2 "t1008" "20210130"
2 0 "t1009" "20210130"
14 0 "t1010" "20210130"
3 0 "t1011" "20210130"
26 1 "t1012" "20210130"
6 0 "t1013" "20210130"
6 1 "t1014" "20210130"
4 0 "t1015" "20210130"
12 0 "t1016" "20210130"
4 0 "t1017" "20210130"
2 0 "t1018" "20210130"
12 0 "t1019" "20210130"
21 0 "t1020" "20210130"
11 1 "t1021" "20210130"
94 4 "t1061" "20210130"
17 2 "t1062" "20210130"
9 0 "t1063" "20210130"
3 1 "t1201" "20210130"
14 0 "t1202" "20210130"
7 0 "t1203" "20210130"
1 1 "t1204" "20210130"
3 0 "t1205" "20210130"
38 2 "t1206" "20210130"
3 0 "t1207" "20210130"
3 0 "t1208" "20210130"
4 0 "t1209" "20210130"
8 0 "t1210" "20210130"
3 2 "t1211" "20210130"
9 0 "t1212" "20210130"
16 0 "t1213" "20210130"
3 0 "t1214" "20210130"
1 1 "t1215" "20210130"
12 0 "t1216" "20210130"
8 0 "t1218" "20210130"
7 0 "t1219" "20210130"
104 2 "t1261" "20210130"
5 0 "t1262" "20210130"
13 0 "t1263" "20210130"
3 1 "t1401" "20210130"
17 0 "t1402" "20210130"
4 2 "t1403" "20210130"
1 1 "t1404" "20210130"
29 0 "t1405" "20210130"
20 0 "t1406" "20210130"
9 1 "t1407" "20210130"
38 1 "t1408" "20210130"
3 1 "t1409" "20210130"
6 0 "t1410" "20210130"
2 0 "t1411" "20210130"
17 0 "t1412" "20210130"
